adv_policy_vf,pro_policy_vf,test reward
17.871014,16.509953,-83.4
24.876566,24.748222,-82.4
17.614002,17.233444,-83.2
17.452442,17.720879,-82.34
16.29615,16.741816,-85.4
18.752121,19.435884,-85.8
18.284363,18.132265,-83.0
15.8084755,15.73737,-82.12
18.910572,19.107021,-84.12
16.639357,16.10317,-83.12
20.678434,21.00718,-82.82
18.834635,19.288074,-81.6
19.28996,19.353115,-82.4
19.328062,19.352839,-80.4
19.203726,19.30752,-81.54
20.302761,20.378847,-81.1
19.267054,19.395954,-81.2
20.39991,20.513037,-81.7
20.21903,20.356823,-81.8
23.218767,23.298794,-79.8
21.810575,22.53348,-80.8
17.522057,18.09208,-80.2
19.155289,19.19421,-81.28
17.452688,17.70195,-80.38
21.21749,21.080778,-80.64
19.6149,19.328302,-82.4
19.11004,19.634525,-80.0
21.214962,21.271467,-81.42
19.191164,20.139843,-82.3
18.26723,18.734081,-80.62
20.360018,20.366375,-80.08
19.766262,19.955256,-80.48
18.104076,18.321638,-80.8
20.794785,21.236988,-83.7
21.04515,21.644266,-82.7
21.892971,22.414745,-83.02
17.49945,17.340672,-82.48
20.888123,20.917988,-84.8
20.17245,20.838867,-82.04
22.764204,23.879093,-85.72
21.034758,21.16245,-81.38
20.308653,20.622734,-81.38
24.163725,24.16702,-81.24
22.444818,22.711428,-83.62
19.09207,19.099941,-80.92
23.913557,24.296251,-82.18
18.168364,18.07704,-82.4
15.647145,15.797135,-80.78
28.389257,29.77313,-82.5
19.963251,20.669643,-82.0
17.700464,19.03357,-82.4
22.894268,23.337332,-81.6
19.172922,20.022987,-82.24
21.453367,22.162977,-82.6
20.686182,21.051394,-81.2
22.11766,22.59322,-82.96
22.508263,23.45556,-82.68
21.07714,21.16412,-82.36
20.479069,20.957178,-82.12
27.193361,27.306429,-82.82
27.828392,28.65527,-83.6
20.674257,21.108522,-82.2
21.89933,22.722084,-82.8
24.677193,24.406487,-84.56
38.867332,39.44195,-85.02
39.76088,40.98717,-83.04
37.381702,35.7413,-84.26
30.56768,30.884182,-82.96
24.089304,24.805294,-83.5
21.404976,21.472948,-83.3
27.748407,27.023268,-82.74
29.991585,29.844164,-84.48
23.224606,25.297665,-83.4
29.153738,30.093132,-82.8
34.735077,35.12528,-84.0
21.877884,22.353186,-83.22
26.375267,26.42343,-82.4
23.120947,23.808369,-82.4
22.544872,22.690804,-83.66
31.061306,31.630802,-82.9
31.805279,33.696507,-83.6
27.377972,27.430393,-83.72
31.560644,32.78785,-82.4
23.944323,25.31532,-84.44
21.835089,22.320093,-82.9
21.678349,22.857975,-83.12
