adv_policy_vf,eplenmean,eprewmean,pro_policy_vf,test reward
422.6564,37.10909090909091,-37.79379035188134,425.01633,-44.68
400.78772,40.82,-27.520645251218244,408.26822,-52.98
336.44788,46.54,-12.636768256365626,340.1846,-60.28
318.94965,47.48,-13.243544284058444,307.56427,-65.54
236.36852,45.67,-25.482511512382363,222.27647,-61.8
214.69258,45.5,-27.169943404674264,180.42476,-51.2
148.294,45.57,-25.05273854186135,130.32054,-59.52
223.50462,45.94,-25.199238874240358,204.65536,-69.14
158.41864,49.03,-17.398870057048676,152.86635,-62.22
214.57352,52.6,-6.769325716547165,225.78651,-66.3
186.43785,51.0,-7.856250621614728,187.05548,-63.32
193.58144,50.44,-9.951229925069358,195.68834,-60.36
113.7509,49.33,-17.26094743496304,119.0486,-64.42
173.89172,49.02,-17.99881566202475,191.02414,-61.4
117.304,54.35,-6.77475730439713,143.41219,-63.18
212.69406,57.12,3.4046709392898022,259.00735,-58.58
178.65271,57.79,2.6203501556963102,209.72205,-58.4
168.18112,56.93,4.388119603736493,221.93414,-59.58
167.43147,57.7,4.340157349527971,216.22368,-48.5
148.7636,58.64,10.795759907131126,235.93869,-55.4
203.41823,57.72,8.662415687094175,292.19208,-57.38
227.95094,56.97,8.34830407353291,271.44482,-59.02
161.81067,58.39,9.157600560781496,220.77641,-51.3
127.58779,61.32,17.022139005616665,152.83345,-55.62
169.735,63.55,20.976625986639448,208.63998,-51.04
162.41824,63.78,24.36706902438466,184.92987,-64.26
116.32805,62.9,15.52523259816968,132.12532,-59.16
100.558624,65.23,19.66242731674246,127.18274,-53.42
110.89178,69.8,34.90701168362504,127.147156,-62.5
157.65024,64.68,30.001857339347367,163.50995,-70.88
172.67574,63.36,36.125949731638215,170.16579,-67.64
259.37985,59.86,30.291710446365396,262.64404,-60.12
324.3943,59.08,35.0015273901352,328.30917,-57.9
193.12936,57.78,35.22153599817201,203.99306,-62.52
267.525,54.0,29.304051417076334,279.29187,-55.72
216.61719,52.69,23.47683048471076,220.9529,-56.04
214.02905,53.04,21.522238070062052,208.48235,-51.46
198.6012,54.02,25.686368810597124,207.5671,-49.88
242.68011,48.01,9.40206351111942,241.45528,-47.5
181.8413,46.28,5.967299448704462,194.77858,-66.02
154.73528,46.37,8.864919607363332,160.18697,-63.46
244.46063,48.35,13.325220964455049,228.58658,-60.14
172.51817,48.01,13.883113798883848,161.79247,-54.26
196.25,50.98,22.87203030746549,198.58925,-63.34
149.66455,53.61,31.21493986164101,160.32947,-58.26
229.76375,56.89,37.25438116632321,213.35487,-61.62
182.88484,50.0,14.067503591322016,182.20741,-62.76
203.62524,49.76,13.744472223975908,196.38496,-63.86
248.50613,52.97,21.820658054112094,228.4824,-59.6
273.51422,59.18,37.76888419912801,259.7795,-65.34
251.59988,58.27,31.592091086029296,235.71721,-60.9
250.45236,56.58,20.190862699038185,237.8685,-60.64
208.3901,57.74,22.414596088362618,204.01833,-57.26
209.88835,61.06,29.335032007602393,197.63693,-66.2
179.41983,53.84,16.126894148344356,178.45662,-59.98
189.74084,56.05,17.420396558884935,179.42613,-60.08
184.14313,55.73,18.274696375350278,167.23837,-60.28
199.75246,57.63,22.08174195540944,194.37566,-56.66
162.38081,50.8,11.632430524193724,154.84895,-67.66
187.24973,52.74,14.195967085034273,181.16237,-59.72
204.31331,52.4,14.13857689437518,207.98119,-63.06
175.17372,54.45,20.44782542134825,165.17249,-60.72
161.1429,51.41,17.36247383423808,163.78487,-55.86
171.98499,53.94,24.202723488696265,172.15352,-62.96
218.74591,51.55,19.39581273279196,200.4711,-66.66
194.6564,56.04,29.626581179007268,188.90242,-55.86
186.67995,58.42,34.56830668098398,186.19649,-66.92
168.26291,61.09,42.36840355851922,157.36401,-60.04
155.47835,60.54,40.86836050925282,157.5205,-60.76
187.43808,56.7,30.12093137680883,172.05739,-60.2
133.17517,57.02,32.89624715224638,131.69699,-64.02
149.71352,61.02,45.17489150603621,138.28317,-66.26
142.68333,67.16,60.598968896738434,139.41371,-62.96
98.177864,67.27,62.85978807494794,99.882965,-58.28
104.75862,65.72,58.091404490418796,104.48569,-55.84
108.835,52.11,25.36522984140117,101.00852,-57.04
120.82776,54.64,31.008690594382752,118.741875,-60.62
166.70146,56.25,35.23147316320386,157.04486,-50.18
124.807304,61.28,46.35555424651482,119.241875,-58.68
116.281136,62.49,48.20114485499332,117.599686,-50.1
105.48938,61.7,47.91371573745804,105.13388,-64.08
143.06006,63.96,54.64354414333349,141.08559,-61.7
151.81862,63.25,53.07529982496499,156.43344,-54.56
137.0411,66.03,58.723937414318605,147.4494,-54.34
137.9765,66.98,61.67348583004527,118.245,-57.78
148.13196,69.51,68.34767005690293,148.0498,-57.16
142.73927,68.09,64.5784726335819,138.58638,-70.64
141.93564,66.33,60.10977046013205,135.43921,-61.62
153.87617,66.0,60.07746778855403,139.34799,-58.8
140.43076,65.49,59.94159807629138,130.61848,-66.02
153.5339,66.14,62.4414306762058,136.0659,-59.64
155.73787,63.35,51.27166704154473,157.07973,-68.58
134.7716,63.83,52.68178574414523,131.59117,-51.12
126.65263,63.86,49.51053363340966,121.53196,-61.74
146.70177,63.48,51.66306224184725,142.08023,-61.52
117.72975,60.42,45.37561101958398,115.25193,-50.2
127.680244,57.98,41.24333849826172,122.75811,-63.98
106.820656,59.4,45.26376126790801,102.929634,-68.62
96.57796,60.12,46.742188611805005,85.99555,-65.9
